variable,label,group,n_near,n_far,near_mean,far_mean,far_std,effect_raw,effect_z,ci95_z,pearson_r_cld_dist
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),ocean,865950,799745,-0.0010391187388449907,-9.48810629779473e-05,0.04796842858195305,-0.0009442376904189587,-0.019684565834916783,0.0029532309312202834,0.00420120178222124
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),forest,10309,32433,-0.00030948867788538337,-0.0008923293789848685,0.05663030594587326,0.0005828407010994852,0.010292028117534083,0.02173668437929684,-0.004968701711568809
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),savanna,26065,69023,0.0033194648567587137,-0.0001625118893571198,0.051827747374773026,0.0034819766879081726,0.0671836393491995,0.015513807506681986,-0.016951222305242045
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),shrubland,32192,145897,0.002114290837198496,-0.00017737159214448184,0.04940442368388176,0.002291662385687232,0.04638577307065904,0.014318104773305843,-0.010473422007328445
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),grassland,62276,170977,0.0011259308084845543,-0.00010918916814262047,0.04954734444618225,0.0012351199984550476,0.024928076615622064,0.010487803169734074,-0.008047395518480955
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),cropland,31530,77770,0.0016029573744162917,0.0005522993742488325,0.05239443853497505,0.0010506580583751202,0.020052854611158216,0.014355701534534582,-0.00853498954979213
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),barren,22370,116513,0.001595218782313168,-0.000470405793748796,0.05221347510814667,0.002065624576061964,0.03956113956758401,0.017334657723473288,-0.004914140068568247
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),urban,3555,8677,-0.02366894669830799,0.0008887881995178759,0.0930778756737709,-0.02455773577094078,-0.2638407418860021,0.03337486870333325,0.11774482603221992
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),ocean,865950,799745,0.0009410533821210265,-0.00021919973369222134,0.3233841061592102,0.0011602530721575022,0.003587848165878258,0.0029462063141014122,-0.0023693146717800144
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),forest,10309,32433,-0.009618963114917278,-0.001680377870798111,0.3523087501525879,-0.007938585244119167,-0.022533034563237214,0.020965258195435103,0.00715589491648898
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),savanna,26065,69023,0.0019599744118750095,-0.0010831474792212248,0.33899593353271484,0.0030431218910962343,0.008976868422530968,0.01471459609764237,-0.002734703233865164
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),shrubland,32192,145897,0.00428897375240922,-0.0012553349370136857,0.326755553483963,0.005544308573007584,0.016967756213758414,0.013638481753216886,-0.003360502720411328
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),grassland,62276,170977,-0.002138253767043352,-0.0008794110617600381,0.33040085434913635,-0.001258842647075653,-0.0038100465858524305,0.009827422497362312,-0.00015538516435599864
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),cropland,31530,77770,0.00018413469661027193,0.0013295105891302228,0.328482985496521,-0.0011453758925199509,-0.0034868652048709588,0.013709164110429448,-0.000803777112343872
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),barren,22370,116513,0.003635116619989276,-0.0007497274782508612,0.3489011526107788,0.004384844098240137,0.01256758272487482,0.01618034976719415,-0.0002836998378558774
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),urban,3555,8677,-0.057408567517995834,0.008954206481575966,0.5222586393356323,-0.06636277586221695,-0.12706879477692767,0.03141151871092665,0.0619344305977581
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),ocean,865950,799745,0.0020479680970311165,-0.0003392448998056352,0.011881002224981785,0.0023872130550444126,0.2009269091815251,0.0038759459208553113,-0.05641328930081427
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),forest,10309,32433,0.005683297757059336,-0.000443562981672585,0.07129000872373581,0.006126860622316599,0.08594276718438215,0.020972794789359917,-0.02259684986798378
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),savanna,26065,69023,0.01157044805586338,-0.00015929080836940557,0.027546895667910576,0.011729738675057888,0.42580981960598485,0.02069205116028823,-0.08949971031791973
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),shrubland,32192,145897,0.004286433104425669,-0.0004241330025251955,0.020070070400834084,0.0047105662524700165,0.2347060153946571,0.01779185737946886,-0.05107606024600338
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),grassland,62276,170977,0.005533447489142418,-0.0005384806427173316,0.022455744445323944,0.006071927957236767,0.270395308960739,0.013109611446688558,-0.05410940074931686
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),cropland,31530,77770,0.0031558468472212553,-0.0006404723390005529,0.02539127878844738,0.003796319244429469,0.1495127234850705,0.015544899586732207,-0.04365688483329418
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),barren,22370,116513,-0.00980403646826744,-0.0010867264354601502,0.02187493070960045,-0.008717309683561325,-0.3985068478290302,0.04284774785052198,0.08012636644694801
dk1_wco2,Δ$\langle \mathcal{l}′ \rangle$ WCO$_2$ (obs-ref),urban,3555,8677,-0.1265508532524109,0.002553442260250449,0.14485538005828857,-0.12910430133342743,-0.8912634192908607,0.04518316277615245,0.26472127959796715
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),ocean,865950,799745,0.0218332689255476,-0.0027382501866668463,0.11026058346033096,0.02457151934504509,0.2228495313004154,0.003598787100456621,-0.06371126653708913
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),forest,10309,32433,0.05015287175774574,-0.001056885113939643,0.5025938749313354,0.05120975524187088,0.10189092584717069,0.021539275393002905,-0.02564402295259233
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),savanna,26065,69023,0.08970791846513748,-0.002360745333135128,0.21061201393604279,0.09206866472959518,0.43714820920687825,0.02057325489302942,-0.09243651814272602
