category,date,frame,fp
good_land,2020-03-01,202003011402370,0
good_land,2018-08-15,201808151233377,0
good_land,2019-10-01,201910011312230,6
good_land,2020-01-15,202001151203153,7
good_land,2017-07-01,201707010901033,1
good_land,2016-09-01,201609010933543,7
good_land,2019-02-01,201902011143510,0
good_ocean,2016-05-01,201605012131317,7
good_ocean,2018-05-01,201805010338467,2
good_ocean,2016-04-05,201604052204357,7
good_ocean,2020-06-01,202006010935363,0
good_ocean,2018-04-15,201804150851360,0
false_positive,2019-08-01,201908011150590,1
false_positive,2016-06-01,201606011408020,0
false_positive,2017-12-01,201712011022267,7
false_positive,2018-01-01,201801011119247,7
false_positive,2019-09-15,201909150956417,7
cloud_no_bias,2017-03-15,201703151007007,0
cloud_no_bias,2016-04-15,201604151133400,0
